frame_idx,x,y,z,yaw,pitch,roll,reprojection_error,process_time,avg_center_x,avg_center_y
63,545.73,-1118.54,8217.98,1.96,-5.09,174.69,0.16,0.0189,-1000000.00,-1000000.00
64,545.73,-1118.54,8217.98,1.96,-5.09,174.69,0.16,0.0204,-1000000.00,-1000000.00
65,545.26,-1120.77,8204.71,3.47,-6.62,174.30,0.12,0.0206,-1000000.00,-1000000.00
66,544.08,-1108.65,8158.55,2.45,-6.05,174.31,0.12,0.0195,-1000000.00,-1000000.00
67,546.37,-1115.93,8159.74,3.38,-6.52,174.65,0.12,0.0185,-1000000.00,-1000000.00
68,546.07,-1111.20,8152.66,3.01,-5.29,174.75,0.09,0.0181,-1000000.00,-1000000.00
69,544.66,-1113.37,8164.90,5.38,-5.14,174.16,0.20,0.0209,-1000000.00,-1000000.00
70,546.22,-1115.71,8173.96,3.99,-3.58,174.35,0.23,0.0180,-1000000.00,-1000000.00
71,544.15,-1110.27,8129.52,4.80,-4.83,174.20,0.29,0.0184,-1000000.00,-1000000.00
72,535.41,-1104.07,8053.57,3.20,-7.33,174.07,0.20,0.0200,-1000000.00,-1000000.00
73,537.26,-1107.07,8067.10,4.62,-5.95,173.97,0.32,0.0196,-1000000.00,-1000000.00
74,537.69,-1106.29,8050.86,4.35,-4.93,173.87,0.20,0.0199,-1000000.00,-1000000.00
75,537.26,-1107.07,8067.10,4.62,-5.95,173.97,0.32,0.0212,-1000000.00,-1000000.00
76,532.81,-1099.52,7999.33,1.71,-6.47,174.48,0.25,0.0170,-1000000.00,-1000000.00
77,541.00,-1105.70,8047.86,2.55,-5.08,174.25,0.22,0.0200,-1000000.00,-1000000.00
78,538.72,-1103.54,8034.34,2.13,-5.17,174.43,0.08,0.0198,-1000000.00,-1000000.00
79,534.22,-1100.37,7995.45,3.94,-5.32,174.13,0.35,0.0194,-1000000.00,-1000000.00
80,534.22,-1100.37,7995.45,3.94,-5.32,174.13,0.35,0.0199,-1000000.00,-1000000.00
81,535.68,-1100.84,7997.67,1.71,-5.25,174.21,0.35,0.0181,-1000000.00,-1000000.00
82,528.91,-1094.61,7932.80,5.43,-7.00,174.12,0.17,0.0175,-1000000.00,-1000000.00
83,527.59,-1085.06,7876.22,5.48,-7.86,173.78,0.21,0.0193,-1000000.00,-1000000.00
84,529.52,-1086.65,7885.66,5.96,-7.84,173.58,0.28,0.0188,-1000000.00,-1000000.00
85,528.86,-1087.37,7884.51,4.53,-6.57,173.94,0.24,0.0189,-1000000.00,-1000000.00
86,542.72,-1091.75,7939.23,0.00,-3.73,174.64,0.21,0.0191,-1000000.00,-1000000.00
87,539.39,-1089.52,7927.41,2.12,-2.46,174.75,0.31,0.0190,-1000000.00,-1000000.00
88,541.88,-1089.64,7927.45,3.39,-2.55,174.67,0.29,0.0197,-1000000.00,-1000000.00
89,539.54,-1082.29,7885.12,2.24,-3.20,174.48,0.36,0.0190,-1000000.00,-1000000.00
90,537.75,-1080.03,7847.58,4.06,-4.69,174.38,0.36,0.0206,-1000000.00,-1000000.00
91,534.54,-1074.08,7832.00,5.84,-8.24,174.26,0.52,0.0180,-1000000.00,-1000000.00
92,541.41,-1078.21,7851.36,3.09,-4.02,174.58,0.25,0.0181,-1000000.00,-1000000.00
93,541.41,-1078.21,7851.36,3.09,-4.02,174.58,0.25,0.0194,-1000000.00,-1000000.00
94,539.30,-1070.03,7783.28,4.26,-5.77,174.13,0.36,0.0187,-1000000.00,-1000000.00
95,536.73,-1067.05,7765.37,4.18,-8.33,174.09,0.47,0.0184,-1000000.00,-1000000.00
96,540.59,-1072.42,7798.01,3.73,-6.56,174.19,0.36,0.0195,-1000000.00,-1000000.00
97,540.14,-1066.36,7764.44,2.97,-7.32,174.10,0.47,0.0176,-1000000.00,-1000000.00
98,536.63,-1061.48,7740.59,3.82,-7.72,174.13,0.47,0.0182,-1000000.00,-1000000.00
99,536.88,-1062.73,7739.91,3.05,-6.72,174.21,0.43,0.0170,-1000000.00,-1000000.00
100,535.58,-1061.81,7708.33,2.56,-7.26,174.52,0.36,0.0175,-1000000.00,-1000000.00
101,535.58,-1061.81,7708.33,2.56,-7.26,174.52,0.36,0.0180,-1000000.00,-1000000.00
102,537.18,-1061.09,7728.67,0.27,-3.33,174.77,0.23,0.0183,-1000000.00,-1000000.00
103,532.72,-1055.78,7672.66,1.64,-3.88,174.74,0.35,0.0182,-1000000.00,-1000000.00
104,532.72,-1055.78,7672.66,1.64,-3.88,174.74,0.35,0.0200,-1000000.00,-1000000.00
105,530.57,-1054.22,7660.21,1.27,-4.15,174.89,0.31,0.0179,-1000000.00,-1000000.00
106,530.57,-1054.22,7660.21,1.27,-4.15,174.89,0.31,0.0175,-1000000.00,-1000000.00
107,530.57,-1054.22,7660.21,1.27,-4.15,174.89,0.31,0.0174,-1000000.00,-1000000.00
108,528.31,-1051.60,7617.35,-0.31,-3.29,175.33,0.28,0.0180,-1000000.00,-1000000.00
109,532.34,-1057.64,7667.18,1.48,-1.88,175.14,0.37,0.0170,-1000000.00,-1000000.00
110,519.18,-1044.48,7548.03,-0.23,-4.07,175.52,0.42,0.0175,-1000000.00,-1000000.00
111,520.16,-1042.57,7534.54,1.88,-3.81,175.43,0.36,0.0176,-1000000.00,-1000000.00
112,520.16,-1042.57,7534.54,1.88,-3.81,175.43,0.36,0.0186,-1000000.00,-1000000.00
113,516.92,-1040.34,7514.34,2.85,-4.67,175.18,0.29,0.0180,-1000000.00,-1000000.00
114,515.14,-1039.64,7499.99,1.40,-3.75,175.43,0.27,0.0183,-1000000.00,-1000000.00
115,515.06,-1034.12,7472.25,0.58,-3.99,175.67,0.18,0.0184,-1000000.00,-1000000.00
116,511.30,-1032.82,7444.59,1.58,-5.02,175.66,0.26,0.0171,-1000000.00,-1000000.00
117,510.15,-1029.94,7424.97,1.14,-4.70,175.80,0.38,0.0175,-1000000.00,-1000000.00
118,510.81,-1028.95,7418.01,1.76,-4.58,175.64,0.32,0.0165,-1000000.00,-1000000.00
119,511.54,-1029.11,7394.31,-0.26,-4.27,176.24,0.26,0.0174,-1000000.00,-1000000.00
120,516.33,-1031.15,7409.87,0.90,-4.03,176.04,0.31,0.0189,-1000000.00,-1000000.00
121,513.01,-1024.75,7355.29,0.04,-5.91,176.16,0.32,0.0180,-1000000.00,-1000000.00
122,513.22,-1023.97,7334.37,-0.42,-6.40,175.94,0.24,0.0181,-1000000.00,-1000000.00
123,513.55,-1019.50,7313.32,1.76,-6.61,175.74,0.32,0.0170,-1000000.00,-1000000.00
124,513.23,-1016.36,7306.05,1.31,-6.05,175.76,0.29,0.0170,-1000000.00,-1000000.00
125,520.42,-1020.20,7322.10,0.39,-5.80,175.73,0.36,0.0172,-1000000.00,-1000000.00
126,519.68,-1016.99,7295.03,0.95,-6.60,175.65,0.45,0.0185,-1000000.00,-1000000.00
127,522.20,-1009.02,7262.88,-0.32,-6.70,175.48,0.36,0.0180,-1000000.00,-1000000.00
128,523.51,-1005.01,7250.73,0.89,-5.61,175.25,0.31,0.0161,-1000000.00,-1000000.00
129,524.23,-1001.58,7219.01,0.54,-7.16,175.33,0.34,0.0187,-1000000.00,-1000000.00
130,521.81,-996.74,7195.02,1.99,-7.38,175.19,0.44,0.0180,-1000000.00,-1000000.00
131,531.33,-1003.30,7234.41,2.54,-6.31,174.95,0.22,0.0190,-1000000.00,-1000000.00
132,531.10,-999.98,7241.25,3.86,-5.08,175.09,0.23,0.0169,-1000000.00,-1000000.00
133,533.10,-997.02,7226.33,0.29,-3.76,175.00,0.23,0.0190,-1000000.00,-1000000.00
134,532.99,-993.35,7195.71,1.67,-4.44,174.76,0.27,0.0190,-1000000.00,-1000000.00
135,535.32,-987.99,7168.62,1.31,-4.59,174.61,0.15,0.0175,-1000000.00,-1000000.00
136,541.54,-989.99,7203.50,-0.64,-3.15,174.82,0.18,0.0185,-1000000.00,-1000000.00
137,541.54,-989.99,7203.50,-0.64,-3.15,174.82,0.18,0.0180,-1000000.00,-1000000.00
138,541.52,-986.77,7168.28,-0.32,-2.74,174.67,0.28,0.0195,-1000000.00,-1000000.00
139,541.52,-986.77,7168.28,-0.32,-2.74,174.67,0.28,0.0185,-1000000.00,-1000000.00
140,544.38,-984.91,7151.65,-0.22,-3.34,174.52,0.19,0.0190,-1000000.00,-1000000.00
141,543.63,-983.93,7132.97,1.20,-2.88,174.52,0.22,0.0181,-1000000.00,-1000000.00
142,543.60,-982.23,7127.38,0.53,-4.27,174.43,0.24,0.0170,-1000000.00,-1000000.00
143,539.69,-975.55,7089.40,-0.10,-4.68,174.43,0.28,0.0187,-1000000.00,-1000000.00
144,526.23,-970.78,7084.29,-6.99,-10.62,175.83,1.43,0.0182,-1000000.00,-1000000.00
145,526.23,-970.78,7084.29,-6.99,-10.62,175.83,1.43,0.0185,-1000000.00,-1000000.00
146,523.15,-968.02,7061.79,-6.79,-11.06,175.82,1.42,0.0191,-1000000.00,-1000000.00
147,521.15,-967.50,7056.85,-6.10,-11.25,175.62,1.44,0.0191,-1000000.00,-1000000.00
148,514.81,-959.86,7001.28,-6.99,-10.99,175.88,1.42,0.0190,-1000000.00,-1000000.00
149,522.22,-963.53,6966.17,0.74,-5.71,174.11,0.16,0.0191,-1000000.00,-1000000.00
150,517.39,-966.06,6998.70,1.15,-3.60,174.46,0.24,0.0174,-1000000.00,-1000000.00
151,517.39,-966.06,6998.70,1.15,-3.60,174.46,0.24,0.0208,-1000000.00,-1000000.00
152,506.16,-959.80,6918.98,-1.17,-5.67,174.67,0.20,0.0196,-1000000.00,-1000000.00
153,502.22,-957.29,6896.80,-1.75,-6.56,174.81,0.28,0.0194,-1000000.00,-1000000.00
154,499.99,-962.68,6937.63,0.31,-3.41,174.75,0.20,0.0195,-1000000.00,-1000000.00
155,491.64,-957.86,6894.08,0.33,-5.22,174.80,0.22,0.0187,-1000000.00,-1000000.00
156,485.86,-955.00,6891.94,0.87,-3.82,174.68,0.29,0.0190,-1000000.00,-1000000.00
157,485.86,-955.00,6891.94,0.87,-3.82,174.68,0.29,0.0180,-1000000.00,-1000000.00
158,477.46,-953.27,6874.31,-0.54,-5.06,174.97,0.28,0.0165,-1000000.00,-1000000.00
159,477.46,-953.27,6874.31,-0.54,-5.06,174.97,0.28,0.0171,-1000000.00,-1000000.00
